id,game,source,review_id,review_date,rating,review_text,app_version,retrieved_at,primary_category,subcategory,sentiment,severity,business_impact,issue,confidence,model_used
1,hitwicket,google_play,284b8e78-02a2-460a-b675-780ea8d6806a,2026-08-18T16:22:29+00:00,5,very good game❤️,,2026-08-19T11:08:36.864268,Gameplay,Match / mechanics,positive,1,1,Player comments on gameplay experience,0.4,rule_based
2,hitwicket,google_play,94f8229a-00ac-4ad4-815c-a2d2151bfc62,2026-08-18T15:48:07+00:00,3,nice game,12.31.0,2026-08-19T11:08:36.864460,,,,,,,,
3,hitwicket,google_play,aba9cb7a-b300-4b4e-aaac-f546f4b6b787,2026-08-18T14:31:51+00:00,5,Good,12.30.0,2026-08-19T11:08:36.864483,,,,,,,,
4,hitwicket,google_play,f03b831a-c335-4801-9f97-1aa4fb10f7b2,2026-08-18T14:17:11+00:00,1,it's a team management game not actual cricket game,,2026-08-19T11:08:36.864491,Monetization,Pricing,negative,4,3,Player mentions spending/payment or ads,0.4,rule_based
5,hitwicket,google_play,a0489651-1f8f-4fd7-a79d-838f0b97351b,2026-08-18T13:55:01+00:00,5,nyc game,12.29.0,2026-08-19T11:08:36.864501,,,,,,,,
6,hitwicket,google_play,13553527-f523-4de3-9901-293d180a7677,2026-08-18T13:40:13+00:00,1,I will suggest that never download this game neveer,,2026-08-19T11:08:36.864507,Monetization,Ads,negative,4,3,Player mentions spending/payment or ads,0.4,rule_based
7,hitwicket,google_play,155f86bd-9f15-4d36-acdf-32f653310b58,2026-08-18T13:11:39+00:00,1,"After the latest update, many balls being balled/faced are not accurate.. Eg: a sample half volley goes way outside off stump and shota that have 99% tend to miss those and started happening very frequently. Started after i updated my app. i will update the review when i receive if this is actually how the app is supposed to function.",12.31.0,2026-08-19T11:08:36.864513,Experience,Bugs / crashes,negative,4,3,Negative review (rule-based classification),0.4,rule_based
8,hitwicket,google_play,1e1b6593-0ae1-417c-a1fa-36e1b75efbc5,2026-08-18T13:09:23+00:00,1,game automatic exit,,2026-08-19T11:08:36.864520,Gameplay,Match / mechanics,negative,4,3,Player comments on gameplay experience,0.4,rule_based
9,hitwicket,google_play,88bd802a-4787-4617-b812-8c5969ccbb59,2026-08-18T13:02:59+00:00,5,very good game 🎮,12.31.0,2026-08-19T11:08:36.864527,Gameplay,Match / mechanics,positive,1,1,Player comments on gameplay experience,0.4,rule_based
101,tennis_clash,google_play,467f8cfa-f882-4e36-b0a9-8fab63d4ab69,2026-08-18T12:38:36+00:00,5,great game. fun to play,6.39.0,2026-08-19T11:08:36.866271,Gameplay,Match / mechanics,positive,1,1,Player comments on gameplay experience,0.4,rule_based
10,hitwicket,google_play,8e9419c4-2db8-4f20-9dee-85e40e70efcb,2026-08-18T12:31:09+00:00,1,Disabled some feature Like training nets. there is no meaning to play if we cant upgrade our players. everything is not to buying level. u are getting paid from advertisements. then why fron us. very disappointed.,12.31.0,2026-08-19T11:08:36.864534,Monetization,Ads,negative,4,3,Player mentions spending/payment or ads,0.4,rule_based
11,hitwicket,google_play,16fca888-ae99-4d33-904b-c81a8cbaf515,2026-08-18T12:27:48+00:00,1,"After recent updates 🔄, the 6 bar was showing 77% and 79% 🤔, but I am still not hitting the six 🏏💥 and, conversely, I got OUT 😤... opposite bowler stats 🥎 are also low compared to my batter stats 🏏, and yesterday in PvP mode 🎮, I didn't play my turn, but it directly showed ""You lost"" 😠 and points were lost 📉... Apart from these issues, the game 🎮 was literally the best and very entertaining! 👍😄",12.31.0,2026-08-19T11:08:36.864541,Gameplay,Match / mechanics,negative,4,3,Player comments on gameplay experience,0.4,rule_based
102,tennis_clash,google_play,ebfa1fbb-71c1-4c4a-8f45-d5c6e31ffecb,2026-08-18T12:25:32+00:00,5,beutiful,6.38.0,2026-08-19T11:08:36.866321,,,,,,,,
103,tennis_clash,google_play,063ac410-4fa4-4937-b370-e3c620351ba5,2026-08-18T12:16:44+00:00,5,Excellent game play,6.39.0,2026-08-19T11:08:36.866334,Gameplay,Match / mechanics,positive,1,1,Player comments on gameplay experience,0.4,rule_based
104,tennis_clash,google_play,d82c11e0-d6d3-43ab-97f0-e9bc243f67ad,2026-08-18T12:14:28+00:00,5,very nice game so amazing 🤩,6.39.0,2026-08-19T11:08:36.866342,Gameplay,Match / mechanics,positive,1,1,Player comments on gameplay experience,0.4,rule_based
12,hitwicket,google_play,0441acfe-4060-4499-af04-9c6cb175cd8f,2026-08-18T11:53:09+00:00,3,good 👍,12.31.0,2026-08-19T11:08:36.864551,,,,,,,,
13,hitwicket,google_play,5eb7bfdf-ae2b-45ce-b2d8-17961396e3fe,2026-08-18T10:21:53+00:00,5,good game,12.31.0,2026-08-19T11:08:36.864558,,,,,,,,
14,hitwicket,google_play,a7cf4ad4-2bbe-4bda-a853-deb8f3802cbc,2026-08-18T09:14:50+00:00,5,what a beautiful experience,12.29.0,2026-08-19T11:08:36.864564,Experience,Bugs / crashes,positive,1,1,Positive review (rule-based classification),0.4,rule_based
201,baseball_clash,google_play,17598cfd-2020-4c99-8f7a-f4543f7e4897,2026-08-18T06:59:20+00:00,1,"yeah this game is designed to make you feel like you're doing good for 1 or 2 games then makes sure nothing works properly for you IN ORDER to get you to spend money, to hopefully ""compete"". Nothing but a money grab. Save your money and buy a console game...it'll be WAY cheaper!",,2026-08-19T11:08:36.868486,Monetization,Pricing,negative,4,3,Player mentions spending/payment or ads,0.4,rule_based
105,tennis_clash,google_play,462d662f-bf7f-49ee-a083-2d1c8cdd1e75,2026-08-18T03:47:13+00:00,5,Fun Game,6.39.0,2026-08-19T11:08:36.866350,,,,,,,,
106,tennis_clash,google_play,87bc5803-581a-4fd9-b854-815ea556e752,2026-08-18T03:36:36+00:00,3,good for everyone,6.39.0,2026-08-19T11:08:36.866356,Experience,Bugs / crashes,mixed,2,2,Negative review (rule-based classification),0.4,rule_based
107,tennis_clash,google_play,6f8dc51b-50c6-4607-a1e6-02b0f4d117c4,2026-08-18T02:46:03+00:00,5,love,6.39.0,2026-08-19T11:08:36.866362,,,,,,,,
15,hitwicket,google_play,e403b6ed-6886-4f67-abf8-6002cf4e4b03,2026-08-18T01:53:41+00:00,5,great game,12.31.0,2026-08-19T11:08:36.864570,Gameplay,Match / mechanics,positive,1,1,Player comments on gameplay experience,0.4,rule_based
16,hitwicket,google_play,cd07d81e-5fd2-4595-a7d8-7e683b7ca527,2026-08-18T01:34:13+00:00,5,amazing game I really enjoying 🤗,12.31.0,2026-08-19T11:08:36.864576,Gameplay,Match / mechanics,positive,1,1,Player comments on gameplay experience,0.4,rule_based
108,tennis_clash,google_play,825ff6eb-005f-4a1b-91be-edbea46921e7,2026-08-18T00:12:40+00:00,5,all good,6.39.0,2026-08-19T11:08:36.866370,,,,,,,,
202,baseball_clash,google_play,16717f68-65a2-4035-926b-ce168f4a2a12,2026-08-18T00:11:34+00:00,1,fame is garbage set up to not let you hit and automatically gives opponents home runs its cheap and as trashy as it gets,,2026-08-19T11:08:36.868542,Monetization,Pricing,negative,4,3,Player mentions spending/payment or ads,0.4,rule_based
17,hitwicket,google_play,aceeaa3c-3bc8-48b2-835a-6a5e26d40346,2026-08-17T23:22:50+00:00,5,app is not getting started. help needed,12.31.0,2026-08-19T11:08:36.864583,Experience,Bugs / crashes,positive,1,1,Positive review (rule-based classification),0.4,rule_based
18,hitwicket,google_play,9de94e4a-cccd-4034-a91f-c8c8b3b2f6be,2026-08-17T22:49:51+00:00,1,update krne ke baad bich match mei hi game band ho jata h 😏😏😏 rejoin match ka feature add kro ya app hi band krdo,12.31.0,2026-08-19T11:08:36.864589,Monetization,Ads,negative,4,3,Player mentions spending/payment or ads,0.4,rule_based
109,tennis_clash,google_play,d179a17f-2bb1-4175-b334-2b2370f71fee,2026-08-17T22:45:52+00:00,2,The game is fine but you get to a point where the loot goes behind a paywall.,6.39.0,2026-08-19T11:08:36.866376,Monetization,Pricing,negative,3,3,Player mentions spending/payment or ads,0.4,rule_based
110,tennis_clash,google_play,2e51e677-9ae7-4037-ae47-6e13b6eed135,2026-08-17T22:10:46+00:00,5,very nice i like it 😍,6.39.0,2026-08-19T11:08:36.866383,Experience,Bugs / crashes,positive,1,1,Positive review (rule-based classification),0.4,rule_based
19,hitwicket,google_play,c1e93317-62c7-4fda-a0c9-93af5ec88db9,2026-08-17T22:09:28+00:00,5,very good,12.30.0,2026-08-19T11:08:36.864596,,,,,,,,
20,hitwicket,google_play,fc9d3023-b245-498e-a37f-2de5ea6b86e1,2026-08-17T21:39:24+00:00,2,"After the august update the game is even tougher to play because my team level is 77 but opponent team coming to play with me in ranked mania is above my team level like 81,87,91,100 like that even I lose to that team means again same thing happening it frustrates me even worse to play this game my level also reduced because of this even I try to upgrade my team it more difficult for so please rectify it as soon as possible if u didn't mean i stopped playing this game.",,2026-08-19T11:08:36.864602,Monetization,Ads,negative,3,3,Player mentions spending/payment or ads,0.4,rule_based
21,hitwicket,google_play,3e08ae48-3654-48c5-be1a-8cef9010be1b,2026-08-17T21:22:25+00:00,5,awesome,12.31.0,2026-08-19T11:08:36.864623,,,,,,,,
111,tennis_clash,google_play,661b8379-bff9-453b-86d0-681fcb29ebd6,2026-08-17T20:28:56+00:00,5,awesome game,6.39.0,2026-08-19T11:08:36.866389,Gameplay,Match / mechanics,positive,1,1,Player comments on gameplay experience,0.4,rule_based
112,tennis_clash,google_play,8f7ccd78-5fcb-42c0-ab88-b89648a3feb5,2026-08-17T20:08:02+00:00,4,Muchos anuncios P2W,6.39.0,2026-08-19T11:08:36.866395,Experience,Bugs / crashes,positive,1,1,Positive review (rule-based classification),0.4,rule_based
22,hitwicket,google_play,a4ae4ef1-c474-4e67-8c06-852d27853395,2026-08-17T19:53:27+00:00,5,nice graphics,12.31.0,2026-08-19T11:08:36.864631,Experience,Bugs / crashes,positive,1,1,Positive review (rule-based classification),0.4,rule_based
23,hitwicket,google_play,faae5f58-da84-431e-9c8c-70c6ef768146,2026-08-17T19:48:37+00:00,5,this game is very funny and intearst op,12.31.0,2026-08-19T11:08:36.864638,Gameplay,Match / mechanics,positive,1,1,Player comments on gameplay experience,0.4,rule_based
113,tennis_clash,google_play,24b90333-161c-411e-8bdb-3f829dfc235e,2026-08-17T19:35:09+00:00,1,pay to win no skill trash,,2026-08-19T11:08:36.866401,Monetization,Pay-to-win pressure,negative,4,3,Player mentions spending/payment or ads,0.4,rule_based
114,tennis_clash,google_play,64a86d4c-f1f1-4180-ad58-3309665a26cb,2026-08-17T19:29:46+00:00,2,"The game badly wants me to loose, so just gives the wifi signal as soon as the match starts throughout the game 😂 Even if i am on wifi or at a better signal it still says connection problem and this only happens after starting a match not on the main menu 😂 worst game ever.",6.39.0,2026-08-19T11:08:36.866411,Monetization,Ads,negative,3,3,Player mentions spending/payment or ads,0.4,rule_based
115,tennis_clash,google_play,a74ed2bb-aa51-4685-a669-52a020755142,2026-08-17T18:30:29+00:00,5,nice,6.39.0,2026-08-19T11:08:36.866420,,,,,,,,
24,hitwicket,google_play,24274a7b-a494-4064-9283-8807e7608bb3,2026-08-17T18:14:54+00:00,2,"I’ve been playing Hitwicket for a long time, but the current version feels awkward and less enjoyable. The batting mechanics don’t feel natural—the player swings the bat in one direction while the ball goes somewhere completely different. It makes the gameplay feel funny and frustrating rather than skill-based. I really hope the developers improve the batting controls and make the gameplay more responsive and consistent. As a long-time player, I’d love to see the game return in smooth experience",12.31.0,2026-08-19T11:08:36.864645,Gameplay,Match / mechanics,negative,3,3,Player comments on gameplay experience,0.4,rule_based
25,hitwicket,google_play,e8324039-89e5-4b58-a1a3-ac12797b5005,2026-08-17T18:14:39+00:00,3,good,12.31.0,2026-08-19T11:08:36.864654,,,,,,,,
26,hitwicket,google_play,e86eed44-42ac-43a8-9c68-f66ed320fe90,2026-08-17T17:50:04+00:00,1,in my screen there is no such option of training nets session.......,,2026-08-19T11:08:36.864661,Experience,Bugs / crashes,negative,4,3,Negative review (rule-based classification),0.4,rule_based
27,hitwicket,google_play,c808390c-989c-483a-b527-244e35c77129,2026-08-17T17:41:37+00:00,5,nnice,12.31.0,2026-08-19T11:08:36.864668,,,,,,,,
116,tennis_clash,google_play,90c9cef7-14f6-497a-932a-b00edc6c78a2,2026-08-17T17:39:12+00:00,5,good game,6.39.0,2026-08-19T11:08:36.866426,,,,,,,,
117,tennis_clash,google_play,c1bc1c1c-5b41-4baa-be53-380249ca9395,2026-08-17T17:39:02+00:00,4,😍😍😍,6.39.0,2026-08-19T11:08:36.866431,,,,,,,,
28,hitwicket,google_play,4902b2a5-526a-4836-9245-b6eb4ad06a96,2026-08-17T17:35:13+00:00,5,good,12.31.0,2026-08-19T11:08:36.864674,,,,,,,,
29,hitwicket,google_play,fa6e51a7-a651-4e3f-b39f-295280cc223d,2026-08-17T17:24:52+00:00,5,good,12.31.0,2026-08-19T11:08:36.864681,,,,,,,,
30,hitwicket,google_play,ebfbdcff-1371-4d66-8902-f609d0bcaab1,2026-08-17T17:21:25+00:00,1,this is very waste game no one download it please,12.31.0,2026-08-19T11:08:36.864688,Monetization,Ads,negative,4,3,Player mentions spending/payment or ads,0.4,rule_based
118,tennis_clash,google_play,a2e0ccde-5e0e-41bd-a6a2-3982ddaceecd,2026-08-17T17:07:53+00:00,1,"too many ads , I don't know why is this , we all know that you wanna earn , but not that much",6.37.0,2026-08-19T11:08:36.866437,Monetization,Ads,negative,4,3,Player mentions spending/payment or ads,0.4,rule_based
31,hitwicket,google_play,bb73079a-a110-40b7-af29-39e3930cb413,2026-08-17T16:57:45+00:00,5,good game,12.31.0,2026-08-19T11:08:36.864694,,,,,,,,
32,hitwicket,google_play,f849c514-576b-4013-96b9-f689ee6f1658,2026-08-17T16:50:21+00:00,1,"Initially the game was good, I was enjoying. But nowadays there are too many bugs. I'm not receiving promotional rewards as well as daily login rewards. While in a ranked game, the new batter's runs reflects as the departed batter's runs. Still there is much to complain please look into those issues.",12.31.0,2026-08-19T11:08:36.864701,Monetization,Ads,negative,4,3,Player mentions spending/payment or ads,0.4,rule_based
33,hitwicket,google_play,60503f31-72cc-4b25-a13f-ed295b395493,2026-08-17T16:12:36+00:00,5,Bute fosh game,12.31.0,2026-08-19T11:08:36.864708,Gameplay,Match / mechanics,positive,1,1,Player comments on gameplay experience,0.4,rule_based
119,tennis_clash,google_play,1fba2ed0-876a-4b2a-a8b0-b5c4beb50deb,2026-08-17T16:03:25+00:00,5,good,6.39.0,2026-08-19T11:08:36.866443,,,,,,,,
34,hitwicket,google_play,647d2441-6e92-4df2-9541-419395164129,2026-08-17T15:42:22+00:00,4,vary good game,12.31.0,2026-08-19T11:08:36.864715,Gameplay,Match / mechanics,positive,1,1,Player comments on gameplay experience,0.4,rule_based
35,hitwicket,google_play,3d317ceb-2e33-4127-9246-42400cfe227a,2026-08-17T15:40:12+00:00,4,very good game but phone still over heats and interestingly after the update more 😒😒,12.21.0,2026-08-19T11:08:36.864721,Gameplay,Match / mechanics,positive,1,1,Player comments on gameplay experience,0.4,rule_based
36,hitwicket,google_play,22386ea0-e62a-41ac-8b90-ac7ce40cc912,2026-08-17T14:59:17+00:00,4,nice,12.31.0,2026-08-19T11:08:36.864729,,,,,,,,
37,hitwicket,google_play,6fe618b0-35b0-4e3f-8c83-020687a946d3,2026-08-17T14:54:59+00:00,5,wonderful,12.31.0,2026-08-19T11:08:36.864735,,,,,,,,
38,hitwicket,google_play,32a00e32-b996-42d5-860d-3ccbe47e4144,2026-08-17T14:28:31+00:00,1,new update 👎🏻👎🏻👎🏻,,2026-08-19T11:08:36.864741,Experience,Bugs / crashes,negative,4,3,Negative review (rule-based classification),0.4,rule_based
39,hitwicket,google_play,897e683c-d852-42e4-b578-4b69168e3da0,2026-08-17T14:19:48+00:00,5,nice,12.31.0,2026-08-19T11:08:36.864752,,,,,,,,
120,tennis_clash,google_play,358ffda8-ad6a-4f91-b7e7-d8ed27cd2c0a,2026-08-17T14:12:49+00:00,1,game was on loading screen while the game started and i lost multiple matches due to this,6.39.0,2026-08-19T11:08:36.866449,Monetization,Ads,negative,4,3,Player mentions spending/payment or ads,0.4,rule_based
121,tennis_clash,google_play,8d958627-e946-43bd-9d8c-fbfe3486d5c3,2026-08-17T13:55:17+00:00,5,unexpectedly good!,6.39.0,2026-08-19T11:08:36.866455,Experience,Bugs / crashes,positive,1,1,Positive review (rule-based classification),0.4,rule_based
203,baseball_clash,google_play,d1931208-7244-4d24-8ef6-3461eb66d931,2026-08-17T13:53:43+00:00,3,what is going on... I was playing having a good time. then I turned off to charge my tablet and turn it back on and then all the app won't pop back up. it just sits there and baseball spins on the screen. I uninstalled and installed it. it's still doing the same thing. what is going on? 😞,1.2.0036012,2026-08-19T11:08:36.868564,Gameplay,Match / mechanics,mixed,2,2,Player comments on gameplay experience,0.4,rule_based
122,tennis_clash,google_play,0fab91b5-b5d4-414a-9a20-5d63565f8a7e,2026-08-17T13:21:24+00:00,5,nice such a amazing game,6.39.0,2026-08-19T11:08:36.866466,Gameplay,Match / mechanics,positive,1,1,Player comments on gameplay experience,0.4,rule_based
123,tennis_clash,google_play,db5fd83b-3ed8-4d96-bed8-95010439dceb,2026-08-17T12:25:42+00:00,5,excellent,6.39.0,2026-08-19T11:08:36.866472,,,,,,,,
